did,disease,precaution_1,Precaution_2,precaution_3,precaution_4,description,estimated_expense_for_treatment,recovery_time_days,category
1,Drug Reaction,stop irritation,consult nearest hospital,stop taking drug,follow up,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,5999.67,7,A
2,Malaria,Consult nearest hospital,avoid oily food,avoid non veg food,keep mosquitos out,An infectious disease caused by protozoan parasites from the Plasmodium family that can be transmitted by the bite of the Anopheles mosquito or by a contaminated needle or transfusion. Falciparum malaria is the most deadly type.,7887.88,10,A
3,Allergy,apply calamine,cover area with bandage,,use ice to compress itching,"An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens.",12000.33,5,A
4,Hypothyroidism,reduce stress,exercise,eat healthy,get proper sleep,"Hypothyroidism, also called underactive thyroid or low thyroid, is a disorder of the endocrine system in which the thyroid gland does not produce enough thyroid hormone.",39487.44,30,A
5,Psoriasis,wash hands with warm soapy water,stop bleeding using pressure,consult doctor,salt baths,"Psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales. They can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back. Psoriasis can't be passed from person to person. It does sometimes happen in members of the same family.",5645.22,90,B
6,GERD,avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise,"Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD.",23412.565,90,B
7,Chronic cholestasis,cold baths,anti itch medicine,consult doctor,eat healthy,"Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases",6756.2,23,C
8,hepatitis A,Consult nearest hospital,wash hands through,avoid fatty spicy food,medication,Hepatitis A is a highly contagious liver infection caused by the hepatitis A virus. The virus is one of several types of hepatitis viruses that cause inflammation and affect your liver's ability to function.,18307.59357,30,C
9,Osteoarthristis,acetaminophen,consult nearest hospital,follow up,salt baths,"Osteoarthritis is the most common form of arthritis, affecting millions of people worldwide. It occurs when the protective cartilage that cushions the ends of your bones wears down over time.",19270.58821,-1,C
10,(vertigo) Paroymsal  Positional Vertigo,lie down,avoid sudden change in body,avoid abrupt head movment,relax,Benign paroxysmal positional vertigo (BPPV) is one of the most common causes of vertigo — the sudden sensation that you're spinning or that the inside of your head is spinning. Benign paroxysmal positional vertigo causes brief episodes of mild to intense dizziness.,20233.58286,5,A
11,Hypoglycemia,lie down on side,check in pulse,drink sugary drinks,, Hypoglycemia is a condition in which your blood sugar (glucose) level is lower than normal. Glucose is your body's main energy source. Hypoglycemia is often related to diabetes treatment. But other drugs and a variety of conditions — many rare — can cause low blood sugar in people who don't have diabetes.,21196.5775,10,A
12,Acne,bath twice,avoid fatty spicy food,drink plenty of water,avoid too many products,"Acne vulgaris is the formation of comedones, papules, pustules, nodules, and/or cysts as a result of obstruction and inflammation of pilosebaceous units (hair follicles and their accompanying sebaceous gland). Acne develops on the face and upper trunk. It most often affects adolescents.",22159.57214,3,A
13,Diabetes ,have balanced diet,exercise,consult doctor,follow up,"Diabetes is a disease that occurs when your blood glucose, also called blood sugar, is too high. Blood glucose is your main source of energy and comes from the food you eat. Insulin, a hormone made by the pancreas, helps glucose from food get into your cells to be used for energy.",23122.56679,-1,A
14,Impetigo,soak affected area in warm water,use antibiotics,remove scabs with wet compressed cloth,consult doctor,"Impetigo (im-puh-TIE-go) is a common and highly contagious skin infection that mainly affects infants and children. Impetigo usually appears as red sores on the face, especially around a child's nose and mouth, and on hands and feet. The sores burst and develop honey-colored crusts.",24085.56143,60,C
15,Hypertension ,meditation,salt baths,reduce stress,get proper sleep,"Hypertension (HTN or HT), also known as high blood pressure (HBP), is a long-term medical condition in which the blood pressure in the arteries is persistently elevated. High blood pressure typically does not cause symptoms.",25048.55607,-1,C
16,Peptic ulcer diseae,avoid fatty spicy food,consume probiotic food,eliminate milk,limit alcohol,"Peptic ulcer disease (PUD) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer.",26011.55071,30,C
17,Dimorphic hemmorhoids(piles),avoid fatty spicy food,consume witch hazel,warm bath with epsom salt,,"Hemorrhoids, also spelled haemorrhoids, are vascular structures in the anal canal. In their ... Other names, Haemorrhoids, piles, hemorrhoidal disease .",26974.54536,30,C
18,Common Cold,drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check,"The common cold is a viral infection of your nose and throat (upper respiratory tract). It's usually harmless, although it might not feel that way. Many types of viruses can cause a common cold.",27937.54,5,C
19,Chicken pox,use neem in bathing ,consume neem leaves,take vaccine,avoid public places,"Chickenpox is a highly contagious disease caused by the varicella-zoster virus (VZV). It can cause an itchy, blister-like rash. The rash first appears on the chest, back, and face, and then spreads over the entire body, causing between 250 and 500 itchy blisters.",28900.53464,15,C
20,Cervical spondylosis,use heating pad or cold pack,exercise,take otc pain reliver,consult doctor,"Cervical spondylosis is a general term for age-related wear and tear affecting the spinal disks in your neck. As the disks dehydrate and shrink, signs of osteoarthritis develop, including bony projections along the edges of bones (bone spurs).",29863.52929,30,C
21,Hyperthyroidism,eat healthy,massage,use lemon balm,take radioactive iodine treatment,"Hyperthyroidism (overactive thyroid) occurs when your thyroid gland produces too much of the hormone thyroxine. Hyperthyroidism can accelerate your body's metabolism, causing unintentional weight loss and a rapid or irregular heartbeat.",30826.52393,-1,C
22,Urinary tract infection,drink plenty of water,increase vitamin c intake,drink cranberry juice,take probiotics,"Urinary tract infection: An infection of the kidney, ureter, bladder, or urethra. Abbreviated UTI. Not everyone with a UTI has symptoms, but common symptoms include a frequent urge to urinate and pain or burning when urinating.",31789.51857,18,B
23,Varicose veins,lie down flat and raise the leg high,use oinments,use vein compression,dont stand still for long,"A vein that has enlarged and twisted, often appearing as a bulging, blue blood vessel that is clearly visible through the skin. Varicose veins are most common in older adults, particularly women, and occur especially on the legs.",32752.51321,60,B
24,AIDS,avoid open cuts,wear ppe if possible,consult doctor,follow up,"Acquired immunodeficiency syndrome (AIDS) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV). By damaging your immune system, HIV interferes with your body's ability to fight infection and disease.",33715.50786,-1,B
25,Paralysis (brain hemorrhage),massage,eat healthy,exercise,consult doctor,"Intracerebral hemorrhage (ICH) is when blood suddenly bursts into brain tissue, causing damage to your brain. Symptoms usually appear suddenly during ICH. They include headache, weakness, confusion, and paralysis, particularly on one side of your body.",34678.5025,90,C
26,Typhoid,eat high calorie vegitables,antiboitic therapy,consult doctor,medication,"An acute illness characterized by fever caused by infection with the bacterium Salmonella typhi. Typhoid fever has an insidious onset, with fever, headache, constipation, malaise, chills, and muscle pain. Diarrhea is uncommon, and vomiting is not usually severe.",3333.33,15,C
27,Hepatitis B,consult nearest hospital,vaccination,eat healthy,medication,"Hepatitis B is an infection of your liver. It can cause scarring of the organ, liver failure, and cancer. It can be fatal if it isn't treated. It's spread when people come in contact with the blood, open sores, or body fluids of someone who has the hepatitis B virus.",5555.55,15,C
28,Fungal infection,bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,"In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi.",6666.66,14,A
29,Hepatitis C,Consult nearest hospital,vaccination,eat healthy,medication,"Inflammation of the liver due to the hepatitis C virus (HCV), which is usually spread via blood transfusion (rare), hemodialysis, and needle sticks. The damage hepatitis C does to the liver can lead to cirrhosis and its complications as well as cancer.",2312.45,15,A
30,Migraine,meditation,reduce stress,use poloroid glasses in sun,consult doctor,"A migraine can cause severe throbbing pain or a pulsing sensation, usually on one side of the head. It's often accompanied by nausea, vomiting, and extreme sensitivity to light and sound. Migraine attacks can last for hours to days, and the pain can be so severe that it interferes with your daily activities.",3455.88,-1,A
31,Bronchial Asthma,switch to loose cloothing,take deep breaths,get away from trigger,seek help,"Bronchial asthma is a medical condition which causes the airway path of the lungs to swell and narrow. Due to this swelling, the air path produces excess mucus making it hard to breathe, which results in coughing, short breath, and wheezing. The disease is chronic and interferes with daily working.",23056.8828,-1,A
32,Alcoholic hepatitis,stop alcohol consumption,consult doctor,medication,follow up,"Alcoholic hepatitis is a diseased, inflammatory condition of the liver caused by heavy alcohol consumption over an extended period of time. It's also aggravated by binge drinking and ongoing alcohol use. If you develop this condition, you must stop drinking alcohol",23213.60142,15,A
33,Jaundice,drink plenty of water,consume milk thistle,eat fruits and high fiberous food,medication,"Yellow staining of the skin and sclerae (the whites of the eyes) by abnormally high blood levels of the bile pigment bilirubin. The yellowing extends to other tissues and body fluids. Jaundice was once called the ""morbus regius"" (the regal disease) in the belief that only the touch of a king could cure it",33232.55,15,A
34,Hepatitis E,stop alcohol consumption,rest,consult doctor,medication,A rare form of liver inflammation caused by infection with the hepatitis E virus (HEV). It is transmitted via food or drink handled by an infected person or through infected water supplies in areas where fecal matter may get into the water. Hepatitis E does not cause chronic liver disease.,4444.65,15,C
35,Dengue,drink papaya leaf juice,avoid fatty spicy food,keep mosquitos away,keep hydrated,"an acute infectious disease caused by a flavivirus (species Dengue virus of the genus Flavivirus), transmitted by aedes mosquitoes, and characterized by headache, severe joint pain, and a rash. — called also breakbone fever, dengue fever.",23683.75729,20,B
36,Hepatitis D,consult doctor,medication,eat healthy,follow up,"Hepatitis D, also known as the hepatitis delta virus, is an infection that causes the liver to become inflamed. This swelling can impair liver function and cause long-term liver problems, including liver scarring and cancer. The condition is caused by the hepatitis D virus (HDV).",23840.47592,30,B
37,Heart attack,call ambulance,chew or swallow asprin,keep calm,,"The death of heart muscle due to the loss of blood supply. The loss of blood supply is usually caused by a complete blockage of a coronary artery, one of the arteries that supplies blood to the heart muscle.",23997.19454,5,B
38,Pneumonia,consult doctor,medication,rest,follow up,"Pneumonia is an infection in one or both lungs. Bacteria, viruses, and fungi cause it. The infection causes inflammation in the air sacs in your lungs, which are called alveoli. The alveoli fill with fluid or pus, making it difficult to breathe.",55555.34,10,B
39,Arthritis,exercise,use hot and cold therapy,try acupuncture,massage,"Arthritis is the swelling and tenderness of one or more of your joints. The main symptoms of arthritis are joint pain and stiffness, which typically worsen with age. The most common types of arthritis are osteoarthritis and rheumatoid arthritis.",24310.63179,90,B
40,Gastroenteritis,stop eating solid food for while,try taking small sips of water,rest,ease back into eating,"Gastroenteritis is an inflammation of the digestive tract, particularly the stomach, and large and small intestines. Viral and bacterial gastroenteritis are intestinal infections associated with symptoms of diarrhea , abdominal cramps, nausea , and vomiting .",3456.432,2,B
41,Tuberculosis,cover mouth,consult doctor,medication,rest,"Tuberculosis (TB) is an infectious disease usually caused by Mycobacterium tuberculosis (MTB) bacteria. Tuberculosis generally affects the lungs, but can also affect other parts of the body. Most infections show no symptoms, in which case it is known as latent tuberculosis.",4544.67,30,B
42,,cover mouth,consult doctor,,,,24310.63179,3,B
